x axis,y axis,z axis
0.90221,-0.98067,11.10113
0.31381,-1.1768,11.0619
0.15691,-0.98067,11.14035
0.19613,-0.90221,11.17958
0.86299,-0.39227,11.14035
1.88288,-1.1768,11.0619
1.64752,-1.3337,11.0619
0.86299,-1.21602,11.02267
0.23536,-1.05912,11.14035
0.50995,-1.09834,11.02267
0.47072,-2.07901,10.98345
1.56906,-1.64752,10.98345
1.49061,-1.56906,11.0619
0.78453,-0.94144,11.14035
2.54973,-1.13757,10.86577
1.56906,-1.49061,10.94422
1.3337,-1.56906,10.90499
-1.13757,-2.82432,10.51273
0.19613,-2.78509,10.82654
2.03978,-0.82376,11.10113
1.3337,-0.27459,11.02267
1.1768,0,11.17958
2.66741,-0.35304,10.90499
1.3337,-0.98067,10.98345
1.56906,-0.54917,11.0619
1.37293,-0.50995,11.14035
3.41271,-0.47072,10.55196
2.07901,-1.37293,10.94422
2.54973,-0.90221,10.86577
3.49117,-0.90221,10.78732
2.78509,-1.68674,10.82654
0.70608,-1.49061,11.0619
4.78565,0.31381,10.12046
3.45194,0.43149,10.63041
2.62818,0.03923,10.82654
-0.5884,0.03923,11.21881
0.50995,-0.03923,11.10113
1.52984,-0.78453,11.02267
3.29503,-1.9221,10.4735
3.13813,-2.5105,10.55196
2.66741,-2.58896,10.70886
2.19669,-1.01989,10.86577
2.62818,-1.09834,10.94422
6.31548,-3.02045,8.74753
3.88343,-2.15746,10.08124
4.11879,-2.3536,10.23814
4.31493,-2.3536,10.12046
4.90333,-2.942,9.76742
4.90333,-2.78509,9.64974
2.31437,0,11.0619
1.96133,-0.78453,10.94422
3.0989,-0.15691,10.55196
4.66797,-1.88288,10.08124
0.07845,-2.15746,11.0619
0.03923,-1.29448,11.14035
-3.96189,0,10.19892
-0.50995,-1.37293,11.0619
-1.56906,-0.23536,10.94422
-1.45138,-0.43149,10.94422
-1.29448,-0.39227,11.10113
2.00056,1.13757,14.0039
-0.23536,-1.9221,10.86577
1.41216,-1.64752,10.90499
1.29448,-1.80442,11.0619
2.74586,-5.09946,9.7282
-0.19613,-1.29448,11.10113
-1.88288,-0.15691,10.63041
1.68674,-2.62818,10.90499
3.41271,-3.29503,10.23814
2.27514,-3.84421,10.35582
2.942,-3.29503,10.35582
0.86299,-5.13868,10.08124
2.58896,-3.92266,10.27737
2.31437,-4.43261,10.15969
2.31437,-5.25636,9.64974
2.66741,-4.78565,9.96356
2.90277,-4.55029,10.00278
2.942,-4.2757,10.04201
2.31437,-1.21602,11.10113
2.86354,-1.80442,10.70886
1.72597,1.25525,10.86577
-2.19669,-0.07845,10.74809
-1.84365,-0.86299,10.98345
-2.74586,-1.01989,10.59118
1.13757,-0.03923,10.94422
1.41216,-3.92266,10.63041
2.5105,-3.29503,10.35582
4.82487,-3.41271,9.76742
4.94255,-3.56962,9.45361
3.33426,-2.70664,10.27737
4.35415,-1.68674,12.74864
-1.68674,-3.60885,10.35582
-0.78453,-4.31493,10.39505
-0.35304,-1.80442,10.70886
-0.86299,-1.52984,11.14035
-0.62763,-0.86299,11.45417
0.86299,-2.00056,11.53262
-0.11768,-2.15746,11.02267
-1.05912,-1.05912,11.10113
3.49117,-0.70608,10.70886
