x axis,y axis,z axis
-3.80498,-0.66685,9.64974
-5.09946,-3.05967,9.92433
-3.37349,-1.05912,10.74809
-4.04034,-0.62763,9.53206
-3.17735,-0.43149,12.55251
0.03923,1.96133,9.96356
-4.58951,-0.62763,9.7282
-3.84421,-1.29448,9.80665
-4.04034,-1.96133,11.49339
-3.05967,0.66685,10.3166
-2.47128,0,10.70886
-3.53039,-0.74531,10.39505
-1.49061,2.54973,11.76798
-3.02045,0.07845,10.51273
-4.07957,-0.27459,9.68897
0.70608,0.03923,10.94422
-1.29448,0.47072,11.21881
-3.45194,-1.29448,11.76798
-3.56962,-0.50995,9.84588
-2.3536,0.39227,11.25803
-1.29448,-3.05967,11.41494
-2.82432,0.07845,10.3166
-5.33482,-1.52984,10.27737
-4.15802,-0.11768,11.02267
0.82376,-0.31381,11.84643
-5.13868,-0.86299,10.39505
-4.98178,-1.80442,8.90444
-2.39282,0.07845,10.70886
-3.84421,-0.19613,10.08124
-2.03978,-0.86299,11.10113
-2.66741,-0.54917,10.12046
-1.9221,-0.54917,12.31715
-2.31437,-0.82376,9.92433
-7.45305,-1.9221,10.51273
-2.58896,-1.72597,10.66964
-4.15802,0.03923,12.19947
-6.7862,-1.96133,10.74809
-3.33426,-0.94144,9.80665
-4.55029,-1.7652,11.37571
-3.21658,-0.5884,10.00278
-5.09946,-0.86299,11.41494
-2.27514,-0.54917,10.08124
-6.51162,-2.11824,12.12102
-4.98178,-1.37293,10.12046
-1.80442,1.1768,10.66964
-2.942,-0.19613,10.08124
0.39227,0.70608,9.06135
-0.31381,2.62818,10.70886
-2.43205,0.94144,10.70886
-1.72597,-2.11824,11.0619
-1.25525,-0.11768,12.00334
-4.19725,0,9.21825
-2.31437,1.1768,9.80665
-4.51106,0.15691,9.10057
-2.07901,0.31381,10.90499
-3.13813,-2.3536,10.23814
-2.70664,-1.29448,10.3166
-4.19725,-0.31381,9.61052
-6.15858,-1.25525,11.17958
-4.15802,0.23536,9.41438
-1.09834,0,11.72875
-4.19725,-0.74531,9.1398
-4.82487,-0.5884,10.15969
-3.49117,0.07845,9.2967
-4.31493,0.23536,8.74753
-5.17791,-0.70608,9.33593
-3.02045,0.31381,9.8851
-3.49117,-1.09834,9.84588
-4.74642,-0.23536,9.80665
-3.13813,1.45138,12.27793
-2.47128,-0.70608,10.82654
-2.11824,2.98122,9.76742
-2.19669,-0.94144,11.53262
-4.98178,0.54917,10.86577
-3.13813,-1.1768,11.0619
-1.1768,2.3536,11.17958
-5.33482,-0.50995,10.00278
-4.19725,0.54917,9.33593
-3.0989,-0.47072,10.04201
-2.58896,-0.27459,9.84588
0.47072,2.11824,10.27737
-6.08012,-0.66685,9.8851
-0.74531,-3.53039,11.10113
-3.92266,-1.84365,11.21881
-2.31437,0.03923,10.55196
-2.31437,1.01989,9.21825
-4.07957,-1.21602,10.15969
-3.49117,0.07845,10.35582
-4.78565,-1.13757,9.84588
-4.19725,-2.90277,9.8851
-3.76575,0.27459,10.51273
-3.45194,-1.64752,10.4735
-3.60885,-2.70664,10.3166
-4.43261,-3.21658,8.47295
-4.43261,-0.94144,9.61052
-3.6873,-1.21602,10.08124
-1.25525,1.49061,12.04257
-6.7862,-2.74586,9.68897
-7.3746,-3.49117,10.08124
-4.62874,-1.96133,8.94366
-1.60829,-0.03923,10.55196
-6.90388,-2.54973,8.86521
-8.08068,-2.23592,7.80609
-2.62818,-1.37293,10.55196
-3.37349,0.11768,10.74809
-2.82432,0.35304,10.12046
0.27459,0.11768,14.7492
-2.23592,-1.45138,10.08124
-7.02156,-2.62818,10.23814
-5.53095,-1.64752,9.17902
-3.13813,0.31381,10.4735
-3.84421,-1.64752,9.61052
-4.55029,-1.05912,8.82598
-5.49172,-2.00056,9.1398
-2.66741,-1.84365,10.00278
-3.45194,-1.45138,10.19892
-3.41271,-1.05912,10.86577
-6.0409,-2.27514,9.53206
-4.70719,-1.41216,9.84588
-4.66797,-1.3337,9.8851
